"city1";"city2";"avg_fare";"total_passengers";"number_of_trips"
"Allentown/Bethlehem/Easton, PA";"Tampa, FL (Metropolitan Area)";173.891923;2523.0;26
"Albuquerque, NM";"Dallas/Fort Worth, TX";158.453644;86459.0;236
"Albuquerque, NM";"Phoenix, AZ";151.236462;45207.0;65
"Albuquerque, NM";"Boston, MA (Metropolitan Area)";243.58512;23685.0;291
"Albuquerque, NM";"Washington, DC (Metropolitan Area)";256.166141;66567.0;368
"Albuquerque, NM";"Chicago, IL";207.733871;40279.0;248
"Albuquerque, NM";"Houston, TX";183.692101;42797.0;276
"Albuquerque, NM";"New York City, NY (Metropolitan Area)";257.76581;49107.0;704
"Albuquerque, NM";"San Francisco, CA (Metropolitan Area)";183.043955;76627.0;354
"Albuquerque, NM";"Los Angeles, CA (Metropolitan Area)";166.073458;116859.0;590
"Nantucket, MA";"New York City, NY (Metropolitan Area)";212.571771;8225.0;96
"Colorado Springs, CO";"Dallas/Fort Worth, TX";191.241295;32374.0;193
"Colorado Springs, CO";"Phoenix, AZ";131.515455;7737.0;33
"Colorado Springs, CO";"Washington, DC (Metropolitan Area)";263.856094;27410.0;297
"Colorado Springs, CO";"Los Angeles, CA (Metropolitan Area)";201.871914;30473.0;465
"Dallas/Fort Worth, TX";"Pittsburgh, PA";234.586818;54713.0;220
"Dallas/Fort Worth, TX";"Denver, CO";170.939279;245126.0;222
"Dallas/Fort Worth, TX";"Tucson, AZ";231.430136;26981.0;221
"Dallas/Fort Worth, TX";"Phoenix, AZ";198.898996;171639.0;239
"Dallas/Fort Worth, TX";"Hartford, CT";292.826419;35220.0;215
"Dallas/Fort Worth, TX";"Seattle, WA";242.896903;130607.0;226
"Dallas/Fort Worth, TX";"El Paso, TX";158.854492;94546.0;236
"Dallas/Fort Worth, TX";"Nashville, TN";204.162121;86478.0;231
"Dallas/Fort Worth, TX";"Washington, DC (Metropolitan Area)";235.417126;325156.0;682
"Dallas/Fort Worth, TX";"St. Louis, MO";175.233203;114684.0;231
"Dallas/Fort Worth, TX";"Myrtle Beach, SC";172.39;417.0;4
"Dallas/Fort Worth, TX";"Jacksonville, FL";209.960224;44818.0;223
"Dallas/Fort Worth, TX";"Detroit, MI";223.802918;113415.0;233
"Dallas/Fort Worth, TX";"Des Moines, IA";218.411182;11683.0;110
"Dallas/Fort Worth, TX";"Houston, TX";124.506621;395782.0;515
"Dallas/Fort Worth, TX";"Orlando, FL";183.096167;192482.0;227
"Dallas/Fort Worth, TX";"Panama City, FL";210.655882;4798.0;34
"Dallas/Fort Worth, TX";"Valparaiso, FL";227.846984;7546.0;63
"Dallas/Fort Worth, TX";"Fresno, CA";231.545;1206.0;16
