"year";"total_sales";"previous_year_sales";"growth_rate"
1993;290368964.83;0.0;0.0
1994;74361197.61;290368964.83;-74.39079
1996;339444791.91;74361197.61;356.481072
1997;376209436.68;339444791.91;10.830817
1998;393854947.45;376209436.68;4.690342
1999;422896118.78;393854947.45;7.37357
2000;467405650.63;422896118.78;10.524933
2001;391098277.26;467405650.63;-16.325728
2002;363890383.4;391098277.26;-6.956792
2003;370318465.86;363890383.4;1.766489
2004;389201883.18;370318465.86;5.099237
2005;431293576.64;389201883.18;10.814874
2006;471486766.65;431293576.64;9.319218
2007;464929535.12;471486766.65;-1.390756
2008;496368768.84;464929535.12;6.76215
2009;429110274.96;496368768.84;-13.550106
2010;478276034.95;429110274.96;11.457605
2011;523871797.12;478276034.95;9.533357
2012;540478080.22;523871797.12;3.169914
2013;568629388.75;540478080.22;5.208594
2014;607231555.03;568629388.75;6.788634
2015;619844589.89;607231555.03;2.077138
2016;614912853.77;619844589.89;-0.795641
2017;632009964.43;614912853.77;2.780412
2018;673402656.55;632009964.43;6.549373
2019;703586385.08;673402656.55;4.48227
2020;210529399.62;703586385.08;-70.077676
2021;401443946.2;210529399.62;90.683081
2022;687151318.62;401443946.2;71.169929
2023;742335462.05;687151318.62;8.030858
2024;177172035.13;742335462.05;-76.133158
