"year";"quarter";"avg_fare";"total_passengers";"number_of_trips"
2021;3;217.064747;640992.0;2033
2021;4;213.851236;687012.0;1966
2022;1;217.201625;610411.0;1920
2010;1;207.925103;572165.0;1995
1998;4;203.267879;560083.0;2192
2009;3;196.198334;644012.0;2071
1993;4;213.500246;395495.0;2437
2010;4;210.690852;654797.0;2054
2007;2;204.977531;704195.0;1985
2003;2;197.134645;571018.0;2138
2005;4;192.33969;688670.0;2128
2014;4;247.804303;690060.0;2038
2001;1;224.028415;561765.0;2164
1993;1;236.600889;345741.0;2395
2002;1;202.35134;496959.0;2127
2007;4;204.381226;660228.0;2015
2014;1;245.308769;610959.0;2031
2003;4;194.665455;573362.0;2130
2003;1;202.222215;492001.0;2072
2011;2;233.405667;672376.0;2054
1999;2;214.154208;601315.0;2203
2012;1;237.935182;586100.0;2009
2001;3;189.625713;546756.0;2181
2013;2;243.490398;691228.0;2085
1997;1;211.334521;498839.0;2243
1997;4;209.851519;541227.0;2225
2006;1;202.471509;621950.0;1995
2003;3;195.239306;558691.0;2148
2010;2;215.780559;661010.0;2039
2012;2;248.860619;669235.0;2053
1997;3;203.952851;543861.0;2252
2007;1;198.987089;627491.0;1979
2005;1;180.927374;581675.0;2022
2002;3;188.080276;544261.0;2175
2011;1;226.898663;580580.0;2020
1994;1;217.611944;397667.0;2454
1999;3;207.227535;591353.0;2211
1996;3;201.069545;513137.0;2266
2005;2;188.094262;692469.0;2065
2009;1;194.60344;568509.0;1974
1998;1;222.971645;490013.0;2091
2002;4;188.003693;557302.0;2123
1993;2;209.415905;403857.0;2459
1997;2;207.310247;558781.0;2229
2014;3;256.39505;674413.0;2083
2004;3;181.127714;618994.0;2157
2006;4;196.656232;680125.0;2046
2000;4;214.97874;609809.0;2127
2001;4;185.310417;482723.0;2086
2000;3;218.381333;624501.0;2160
2008;2;221.694851;722550.0;2051
1999;1;216.548498;535092.0;2210
1998;2;212.166472;576258.0;2180
2010;3;218.021052;631199.0;2025
2011;4;235.705664;639436.0;2032
1993;3;198.870923;393045.0;2448
2022;2;268.063067;803920.0;1966
2006;3;207.823224;695477.0;2106
2013;1;242.149566;609941.0;2051
2009;4;200.667233;628018.0;2038
1999;4;201.04121;595085.0;2133
2005;3;186.34326;706050.0;2150
2011;3;232.0187;643329.0;2038
2004;1;204.598617;532272.0;2083
2002;2;196.87354;564522.0;2164
2000;2;217.519061;661498.0;2141
1998;3;204.140784;550397.0;2245
1996;1;210.390991;455842.0;2270
2013;3;250.31204;643500.0;2093
2001;2;203.929689;636347.0;2217
2009;2;190.088119;663455.0;2026
2004;4;179.404304;615305.0;2054
2008;4;218.219173;626389.0;2032
2000;1;224.349626;555358.0;2113
2008;3;229.165141;651384.0;2062
2004;2;191.017021;653341.0;2172
1996;2;202.462861;528950.0;2317
2012;3;238.627199;638775.0;2074
1996;4;205.73693;504663.0;2228
2006;2;213.665743;713272.0;2053
2013;4;243.62194;660662.0;2072
2012;4;239.02852;648408.0;2102
2019;1;235.292579;740904.0;2001
2014;2;256.893597;704676.0;2077
2008;1;211.493792;630688.0;1962
2007;3;203.160674;665330.0;2018
2019;2;246.327889;862953.0;2056
2015;4;237.392978;739815.0;2035
2015;3;247.317816;724248.0;2074
2015;2;254.436633;742155.0;2049
2015;1;252.892771;639320.0;1992
2017;3;237.249629;774678.0;2078
2016;1;241.649921;676146.0;2014
2023;3;241.310338;803531.0;1983
2016;2;241.245394;788012.0;2043
2016;3;241.180807;754549.0;2094
2018;3;238.350758;805596.0;2071
2020;4;180.026884;257057.0;1842
2016;4;238.16434;758548.0;2076
2017;1;240.390413;706672.0;2034
2017;2;247.390643;813003.0;2052
2018;4;241.456537;818804.0;2059
2017;4;235.43043;792284.0;2068
2018;1;238.036895;728181.0;2019
2018;2;241.376261;851369.0;2046
2019;4;241.912849;835481.0;2039
2019;3;241.03155;822988.0;2052
2020;1;229.410414;582517.0;2004
2020;3;173.096597;202483.0;1878
2020;2;189.066019;89454.0;1796
2021;1;184.494204;269987.0;1822
2021;2;208.034502;535411.0;1937
2022;3;253.461567;769086.0;1978
2022;4;259.263496;795952.0;1945
2023;1;248.387998;729969.0;1923
2023;2;256.990807;853154.0;1934
2023;4;253.22405;815421.0;1948
2024;1;257.24316;743480.0;1905
